Time (s),ankle_xz
20.485176,-7.260000
20.534955,-7.180000
20.535152,-7.090000
20.618982,-7.200000
20.619064,-7.190000
20.734509,-7.150000
20.735030,-6.940000
20.841787,-6.620000
20.901420,-6.480000
20.985655,-6.440000
21.092050,-6.410000
21.151571,-6.370000
21.235282,-6.220000
21.402648,-6.170000
21.453447,-6.230000
21.568864,-6.230000
21.569875,-6.250000
21.652820,-6.240000
21.736195,-6.240000
21.819092,-6.250000
21.819971,-6.210000
21.887204,-6.220000
21.943782,-6.220000
22.020096,-6.240000
