Time (s),ankle_yz
20.484932,-10.240000
20.485176,-10.030000
20.534955,-9.730000
20.535152,-9.600000
20.618982,-9.850000
20.619064,-9.810000
20.734509,-9.510000
20.735030,-9.240000
20.841787,-8.470000
20.901420,-8.010000
20.985655,-7.960000
21.092050,-7.910000
21.151571,-7.840000
21.235282,-7.890000
21.402648,-7.820000
21.453447,-7.790000
21.568864,-7.760000
21.569875,-7.750000
21.652820,-7.760000
21.736195,-7.760000
21.819092,-7.720000
21.819971,-7.740000
21.887204,-7.760000
21.943782,-7.740000
22.020096,-7.760000
