Time (s),mag_x,mag_y,mag_z
9.107263,-25.880000,-21.000000,8.380000
9.215536,-25.500000,-20.250000,9.190000
9.273703,-25.880000,-21.380000,9.500000
9.324488,-24.060000,-22.060000,9.500000
9.440448,-21.500000,-23.560000,10.690000
9.524102,-21.880000,-24.000000,12.690000
9.632475,-20.380000,-24.250000,12.250000
9.690750,-21.190000,-23.190000,12.250000
9.774175,-21.500000,-23.190000,13.500000
9.857671,-20.380000,-23.560000,13.000000
10.074792,-19.690000,-24.690000,13.500000
10.107530,-21.500000,-23.560000,13.500000
10.191403,-21.880000,-24.000000,12.250000
10.241754,-20.380000,-24.250000,13.750000
10.408447,-18.190000,-25.500000,13.750000
10.466264,-18.190000,-28.000000,8.750000
10.524869,-17.690000,-28.380000,6.750000
10.608254,-18.750000,-28.380000,5.690000
10.691752,-21.500000,-27.560000,3.560000
10.717087,-22.190000,-27.560000,1.560000
10.775529,-23.690000,-27.500000,1.560000
10.826034,-22.560000,-26.750000,0.750000
10.942224,-26.690000,-25.690000,-0.250000
11.025351,-26.690000,-25.690000,0.060000
11.025849,-26.250000,-26.750000,0.060000
11.134555,-25.880000,-26.380000,0.060000
11.192297,-26.190000,-26.380000,1.250000
11.193291,-24.750000,-27.500000,2.500000
11.326314,-23.250000,-27.880000,2.060000
11.442805,-23.560000,-28.250000,2.380000
11.492868,-22.880000,-29.380000,1.250000
11.550890,-21.880000,-29.000000,2.380000
11.609128,-21.880000,-29.000000,2.060000
11.692304,-21.750000,-29.690000,3.190000
11.717549,-21.880000,-29.690000,1.250000
11.859875,-20.000000,-31.190000,3.560000
11.909731,-18.880000,-32.380000,4.380000
11.943300,-17.060000,-33.380000,5.560000
12.109992,-16.380000,-32.690000,6.380000
12.160381,-17.500000,-32.380000,7.060000
12.218856,-20.380000,-30.500000,5.880000
12.276907,-20.750000,-30.060000,5.880000
12.278288,-20.380000,-29.380000,5.880000
12.401723,-21.880000,-29.380000,4.000000
12.461034,-20.380000,-29.690000,5.190000
12.568050,-19.690000,-30.500000,5.880000
12.626556,-20.000000,-31.190000,5.190000
12.710427,-19.690000,-32.000000,3.190000
12.810766,-20.750000,-30.880000,1.690000
12.860805,-23.000000,-30.500000,-1.690000
12.944792,-23.690000,-29.380000,-4.000000
12.977482,-25.880000,-27.880000,-4.750000
13.127954,-29.500000,-25.690000,-6.250000
13.160614,-32.380000,-23.500000,-7.000000
13.294380,-32.380000,-23.500000,-7.380000
13.294942,-33.060000,-23.060000,-5.380000
13.411515,-33.500000,-25.380000,-4.560000
13.511133,-31.250000,-28.250000,-3.690000
13.570886,-30.190000,-29.000000,-3.000000
13.669605,-26.500000,-33.380000,-0.190000
13.778616,-23.880000,-34.880000,0.750000
13.838692,-22.380000,-35.690000,2.380000
13.895035,-23.190000,-36.000000,3.190000
13.945770,-21.000000,-37.060000,3.500000
13.979048,-19.500000,-36.690000,4.250000
14.078599,-19.060000,-37.500000,4.690000
14.128874,-18.000000,-37.500000,6.190000
14.212141,-17.250000,-38.560000,5.500000
14.245463,-16.190000,-38.560000,5.060000
14.329054,-13.190000,-39.250000,6.690000
14.379014,-10.690000,-40.380000,5.880000
14.412882,-7.750000,-40.380000,6.690000
14.512143,-0.690000,-40.750000,8.560000
14.562650,3.000000,-39.690000,5.500000
14.596237,2.380000,-41.190000,2.000000
14.679269,-1.690000,-40.000000,0.750000
14.729409,-6.000000,-39.560000,0.380000
14.845848,-13.000000,-37.380000,-3.060000
14.929509,-29.060000,-24.750000,-1.690000
14.979796,-31.560000,-19.690000,-2.190000
15.036842,-32.750000,-15.750000,-1.190000
15.146973,-33.750000,-12.380000,-0.060000
15.205131,-30.880000,-17.060000,-0.060000
15.263020,-29.060000,-18.560000,-1.560000
15.346672,-27.190000,-21.000000,0.690000
15.455682,-24.560000,-23.250000,1.750000
15.513154,-22.380000,-25.190000,2.560000
15.514102,-19.750000,-27.060000,3.690000
15.696522,-19.750000,-27.060000,3.750000
15.747080,-18.690000,-28.190000,3.000000
15.805315,-18.690000,-27.750000,4.190000
15.863647,-18.380000,-28.560000,4.560000
15.947081,-17.250000,-29.000000,3.750000
15.997492,-16.500000,-29.000000,5.000000
16.056341,-14.250000,-30.380000,3.000000
16.113820,-9.880000,-32.250000,3.000000
16.164301,-5.380000,-33.750000,2.190000
16.247945,0.000000,-34.190000,2.250000
16.280834,1.500000,-35.000000,0.690000
16.364544,-0.750000,-35.750000,0.000000
16.414748,-4.500000,-34.690000,-0.380000
16.473568,-10.500000,-33.880000,-2.690000
16.531068,-16.250000,-31.000000,-2.250000
16.614435,-21.880000,-28.000000,-1.880000
16.697155,-26.560000,-24.380000,-1.880000
16.698433,-32.500000,-19.000000,-2.690000
16.781365,-32.380000,-18.560000,-1.380000
16.805858,-33.380000,-18.560000,-2.560000
16.890080,-31.880000,-19.380000,-2.560000
16.948281,-32.250000,-20.500000,-3.750000
17.081524,-28.560000,-24.880000,-2.560000
17.198191,-26.250000,-26.380000,-1.750000
17.305656,-22.000000,-30.380000,1.250000
17.465383,-20.500000,-31.190000,1.690000
17.565233,-18.560000,-32.250000,5.190000
17.615735,-16.750000,-33.380000,5.190000
17.675599,-14.560000,-34.500000,6.000000
17.731607,-13.750000,-34.880000,6.000000
17.815465,-13.560000,-34.500000,4.380000
17.865887,-11.250000,-36.380000,5.560000
17.899201,-6.560000,-36.690000,5.560000
17.982582,-1.000000,-37.060000,6.380000
18.090470,2.690000,-36.750000,7.880000
18.149563,3.000000,-39.000000,1.250000
18.249030,-5.190000,-38.690000,-2.060000
18.300072,-10.690000,-39.000000,-2.060000
18.333275,-16.060000,-36.750000,-5.500000
18.333855,-21.690000,-35.000000,-4.690000
18.533290,-28.190000,-31.000000,-3.060000
18.599746,-30.380000,-28.190000,-3.380000
18.633225,-31.190000,-28.190000,-1.000000
18.799291,-29.880000,-27.880000,-1.000000
18.883208,-31.060000,-27.500000,-3.000000
18.933759,-29.560000,-29.000000,-2.190000
18.991696,-26.560000,-33.060000,-0.190000
19.050191,-24.750000,-32.250000,0.500000
19.133537,-25.560000,-33.060000,2.060000
19.184208,-24.380000,-33.060000,2.060000
19.217088,-25.190000,-31.560000,1.250000
19.300667,-25.560000,-32.000000,2.060000
19.350726,-25.560000,-30.750000,2.880000
19.408413,-27.000000,-32.000000,2.190000
19.517764,-25.880000,-32.250000,3.560000
19.601083,-25.560000,-32.000000,2.500000
19.634833,-25.560000,-32.690000,1.690000
19.784570,-26.190000,-32.000000,1.690000
19.817826,-25.880000,-32.250000,1.250000
19.900980,-25.190000,-32.690000,0.500000
19.951417,-24.750000,-32.690000,0.880000
20.068076,-24.380000,-33.500000,0.500000
20.151473,-22.190000,-35.560000,-2.500000
20.201720,-20.000000,-35.560000,-4.060000
20.235474,-17.750000,-36.750000,-4.500000
20.318317,-15.560000,-37.060000,-8.000000
20.369408,-9.750000,-38.250000,-11.060000
20.484973,-6.060000,-38.250000,-12.690000
20.534853,1.690000,-37.880000,-15.750000
20.618852,3.880000,-37.190000,-14.690000
20.676567,10.250000,-35.690000,-17.500000
20.735080,13.190000,-35.000000,-17.000000
20.841744,16.500000,-35.380000,-15.500000
20.902073,19.060000,-34.190000,-16.560000
20.985533,23.750000,-32.190000,-16.250000
21.035670,24.380000,-30.690000,-17.500000
21.092256,24.380000,-31.380000,-15.060000
21.203073,24.060000,-32.190000,-16.560000
21.402526,24.380000,-32.250000,-15.500000
21.453228,22.880000,-32.560000,-15.880000
21.569797,24.380000,-31.880000,-15.880000
21.569913,24.750000,-31.060000,-15.880000
21.652599,24.060000,-30.750000,-16.750000
21.736068,24.060000,-31.880000,-15.560000
21.761284,24.060000,-31.880000,-16.380000
21.819851,24.060000,-32.560000,-14.380000
21.887064,24.060000,-31.060000,-14.380000
21.943875,23.250000,-31.880000,-14.750000
22.019969,23.250000,-32.250000,-14.060000
