Master Time (s),gravity_x,gravity_y,gravity_z,lin_accel_x,lin_accel_y,lin_accel_z
2.317269,9.320000,2.930000,-0.820000,,,
2.433369,,,,-0.490000,-0.100000,-0.080000
2.433519,8.770000,4.270000,-0.970000,,,
2.483598,,,,3.570000,2.300000,-0.780000
2.483738,8.010000,5.600000,-0.770000,,,
2.567514,,,,3.490000,-0.610000,0.280000
2.567556,7.730000,6.000000,-0.560000,,,
2.600368,,,,4.660000,5.150000,0.040000
2.600536,6.850000,7.000000,-0.370000,,,
2.601336,,,,3.130000,-3.980000,1.900000
2.601460,5.290000,8.250000,-0.190000,,,
2.750902,,,,2.620000,-9.790000,0.400000
2.751030,4.810000,8.530000,0.180000,,,
2.783452,,,,1.850000,-5.100000,0.590000
2.784285,5.050000,8.400000,-0.020000,,,
2.909512,,,,2.350000,-2.470000,-0.890000
2.909623,5.670000,8.000000,-0.110000,,,
2.934233,6.870000,6.990000,-0.080000,,,
2.934370,,,,0.940000,-0.930000,-0.550000
2.967678,,,,1.260000,0.700000,-1.570000
2.967719,8.230000,5.320000,-0.070000,,,
3.050970,,,,0.940000,4.670000,-2.770000
3.051013,9.200000,3.370000,-0.010000,,,
3.101964,,,,-2.170000,7.400000,-0.410000
3.102097,9.680000,1.540000,-0.020000,,,
3.134443,,,,2.750000,6.040000,-0.220000
3.134772,9.780000,-0.620000,-0.060000,,,
3.217781,,,,-4.430000,8.650000,1.530000
3.217914,9.660000,-1.650000,-0.050000,,,
3.268544,,,,15.430000,6.270000,4.010000
3.268667,9.620000,-1.880000,-0.210000,,,
3.351799,,,,-3.660000,9.510000,-2.190000
3.351842,9.660000,-1.610000,0.430000,,,
3.384318,,,,-1.910000,-2.780000,6.120000
3.384910,9.720000,-1.270000,0.180000,,,
3.467952,,,,-0.860000,2.750000,2.070000
3.468089,9.780000,-0.570000,0.310000,,,
3.518716,,,,-0.090000,3.400000,-0.190000
3.518844,9.790000,0.170000,0.340000,,,
3.575556,,,,-0.690000,1.650000,0.360000
3.575763,9.750000,0.990000,0.270000,,,
3.768642,9.630000,1.840000,0.030000,,,
3.768818,,,,-0.440000,2.770000,0.050000
3.801336,9.360000,2.830000,-0.590000,,,
3.801695,,,,-0.150000,0.980000,-0.280000
3.802474,,,,-0.510000,0.800000,-0.020000
3.802596,9.270000,3.090000,-0.780000,,,
3.951732,9.130000,3.440000,-0.930000,,,
3.951784,,,,-0.130000,0.820000,-0.290000
3.985024,,,,-0.210000,0.690000,0.340000
3.985069,8.990000,3.760000,-1.050000,,,
4.118837,,,,-0.640000,-0.680000,0.740000
4.118971,8.640000,4.490000,-1.110000,,,
4.177465,,,,3.050000,1.660000,0.170000
4.177622,7.740000,5.930000,-0.980000,,,
4.235400,7.180000,6.600000,-0.910000,,,
4.235524,,,,9.530000,-1.400000,0.170000
4.286039,,,,7.770000,3.960000,2.790000
4.286164,6.110000,7.600000,-0.920000,,,
4.369075,4.440000,8.720000,-0.620000,,,
4.369479,,,,3.730000,-8.770000,3.420000
4.536518,,,,-2.640000,-2.620000,-5.300000
4.536728,4.080000,8.910000,-0.010000,,,
4.594784,7.310000,6.520000,-0.030000,,,
4.594865,,,,1.520000,1.550000,-1.870000
4.652221,,,,2.100000,2.100000,1.380000
4.652488,8.680000,4.540000,0.020000,,,
4.761688,,,,0.580000,6.190000,-0.440000
4.786435,9.540000,2.250000,-0.140000,,,
4.786915,,,,1.930000,9.350000,-2.130000
4.786998,9.800000,0.130000,-0.110000,,,
4.819513,,,,-2.250000,9.260000,1.710000
4.819631,9.720000,-1.260000,-0.280000,,,
4.952973,9.750000,-1.020000,0.020000,,,
4.953016,,,,2.160000,8.880000,-0.030000
5.009941,,,,-3.410000,-15.310000,7.230000
5.010059,9.760000,-0.790000,0.390000,,,
5.152667,9.790000,0.000000,0.470000,,,
5.152789,,,,-1.490000,-0.450000,2.510000
5.219469,,,,-0.680000,2.220000,1.360000
5.219597,9.600000,1.940000,0.340000,,,
5.252962,,,,-0.080000,1.330000,0.280000
5.253095,9.430000,2.670000,0.090000,,,
5.304605,,,,0.200000,1.640000,-0.480000
5.336239,9.310000,3.070000,-0.130000,,,
5.420165,,,,0.000000,0.500000,0.090000
5.420215,9.250000,3.210000,-0.360000,,,
5.502772,,,,-0.120000,0.590000,-0.170000
5.503228,9.190000,3.360000,-0.500000,,,
5.503659,,,,-0.050000,0.150000,-0.320000
5.503779,9.040000,3.720000,-0.710000,,,
5.554547,,,,-0.520000,0.190000,-0.160000
5.586166,8.850000,4.130000,-0.880000,,,
5.670383,8.570000,4.640000,-1.000000,,,
5.670468,,,,-0.410000,0.520000,0.430000
5.720534,,,,0.390000,0.720000,0.460000
5.753034,7.810000,5.840000,-1.000000,,,
5.836461,,,,5.390000,0.610000,-0.090000
5.836881,6.950000,6.850000,-0.910000,,,
5.920067,,,,6.770000,4.010000,4.490000
5.920239,5.690000,7.900000,-1.120000,,,
