Time (s),gravity_x,gravity_y,gravity_z
11.492954,7.810000,5.480000,2.240000
11.551017,7.730000,5.570000,2.280000
11.609789,7.690000,5.630000,2.260000
11.692816,7.660000,5.720000,2.170000
11.717628,7.500000,6.010000,1.940000
11.860020,7.260000,6.360000,1.730000
11.909687,6.990000,6.710000,1.500000
11.943343,6.960000,6.790000,1.190000
12.109904,7.190000,6.600000,0.870000
12.160609,7.710000,5.990000,0.890000
12.218944,7.970000,5.620000,1.010000
12.277032,8.010000,5.540000,1.070000
12.278368,7.950000,5.610000,1.120000
12.401925,7.760000,5.880000,1.110000
12.461185,7.820000,5.800000,1.100000
12.567933,7.580000,6.100000,1.200000
12.627250,7.680000,5.870000,1.620000
12.710730,7.790000,5.640000,1.900000
12.810849,8.020000,5.140000,2.290000
12.860887,8.440000,4.140000,2.760000
12.944874,8.740000,3.360000,2.890000
13.077258,8.930000,2.790000,2.930000
13.128038,9.150000,2.050000,2.840000
13.161047,9.190000,1.650000,2.970000
13.294519,9.080000,1.860000,3.170000
13.295022,8.960000,2.130000,3.360000
13.411708,8.780000,2.910000,3.220000
13.511216,8.630000,3.520000,3.010000
13.571031,8.480000,4.050000,2.770000
13.669687,8.200000,4.840000,2.320000
13.778700,7.960000,5.420000,1.800000
13.838775,7.880000,5.680000,1.290000
13.894994,7.820000,5.820000,1.040000
13.945855,7.750000,5.940000,0.830000
13.979129,7.630000,6.130000,0.530000
14.078857,7.480000,6.320000,0.370000
14.128961,7.300000,6.530000,0.280000
14.212313,7.180000,6.670000,0.220000
14.245549,6.890000,6.970000,0.200000
14.329133,6.320000,7.490000,0.130000
14.379101,5.330000,8.220000,-0.170000
14.412988,4.090000,8.900000,-0.290000
14.512300,3.220000,9.260000,-0.080000
14.562731,3.340000,9.170000,0.830000
14.596384,4.090000,8.830000,1.150000
14.679352,4.980000,8.320000,1.420000
14.729498,6.450000,7.170000,1.760000
14.846056,7.490000,6.100000,1.660000
14.929628,9.310000,2.640000,1.530000
