Time (s),mag_x
12.109992,-16.380000
12.160381,-17.500000
12.218856,-20.380000
12.276907,-20.750000
12.278288,-20.380000
12.401723,-21.880000
12.461034,-20.380000
12.568050,-19.690000
12.626556,-20.000000
12.710427,-19.690000
12.810766,-20.750000
12.860805,-23.000000
12.944792,-23.690000
12.977482,-25.880000
13.127954,-29.500000
13.160614,-32.380000
13.294380,-32.380000
13.294942,-33.060000
13.411515,-33.500000
13.511133,-31.250000
13.570886,-30.190000
13.669605,-26.500000
13.778616,-23.880000
13.838692,-22.380000
13.895035,-23.190000
13.945770,-21.000000
13.979048,-19.500000
14.078599,-19.060000
14.128874,-18.000000
14.212141,-17.250000
14.245463,-16.190000
14.329054,-13.190000
14.379014,-10.690000
14.412882,-7.750000
14.512143,-0.690000
14.562650,3.000000
14.596237,2.380000
14.679269,-1.690000
14.729409,-6.000000
14.845848,-13.000000
14.929509,-29.060000
14.979796,-31.560000
15.036842,-32.750000
15.146973,-33.750000
15.205131,-30.880000
15.263020,-29.060000
15.346672,-27.190000
15.455682,-24.560000
15.513154,-22.380000
15.514102,-19.750000
15.696522,-19.750000
15.747080,-18.690000
15.805315,-18.690000
15.863647,-18.380000
15.947081,-17.250000
15.997492,-16.500000
16.056341,-14.250000
16.113820,-9.880000
16.164301,-5.380000
16.247945,0.000000
16.280834,1.500000
16.364544,-0.750000
16.414748,-4.500000
16.473568,-10.500000
16.531068,-16.250000
16.614435,-21.880000
16.697155,-26.560000
16.698433,-32.500000
16.781365,-32.380000
16.805858,-33.380000
16.890080,-31.880000
16.948281,-32.250000
17.081524,-28.560000
17.198191,-26.250000
17.305656,-22.000000
17.465383,-20.500000
17.565233,-18.560000
17.615735,-16.750000
17.675599,-14.560000
17.731607,-13.750000
17.815465,-13.560000
17.865887,-11.250000
17.899201,-6.560000
17.982582,-1.000000
18.090470,2.690000
18.149563,3.000000
18.249030,-5.190000
18.300072,-10.690000
18.333275,-16.060000
18.333855,-21.690000
18.533290,-28.190000
18.599746,-30.380000
18.633225,-31.190000
18.799291,-29.880000
18.883208,-31.060000
18.933759,-29.560000
18.991696,-26.560000
19.050191,-24.750000
19.133537,-25.560000
19.184208,-24.380000
19.217088,-25.190000
19.300667,-25.560000
19.350726,-25.560000
19.408413,-27.000000
19.517764,-25.880000
19.601083,-25.560000
19.634833,-25.560000
19.784570,-26.190000
19.817826,-25.880000
19.900980,-25.190000
19.951417,-24.750000
20.068076,-24.380000
20.151473,-22.190000
20.201720,-20.000000
20.235474,-17.750000
20.318317,-15.560000
20.369408,-9.750000
20.484973,-6.060000
20.534853,1.690000
20.618852,3.880000
20.676567,10.250000
20.735080,13.190000
20.841744,16.500000
20.902073,19.060000
20.985533,23.750000
21.035670,24.380000
21.092256,24.380000
21.203073,24.060000
21.402526,24.380000
21.453228,22.880000
21.569797,24.380000
21.569913,24.750000
21.652599,24.060000
21.736068,24.060000
21.761284,24.060000
21.819851,24.060000
21.887064,24.060000
21.943875,23.250000
22.019969,23.250000
