Time (s),imag_part_kohm,real_part_kohm
19.900183,-85.668422,90.192554
19.933537,-84.772613,89.127450
20.050268,-84.323036,88.601003
20.167234,-84.013450,88.258035
20.250506,-84.676748,88.968028
20.367181,-85.394397,89.696537
20.545221,-85.988999,90.337917
20.545381,-86.780292,91.218900
20.660705,-87.837475,92.353085
20.777699,-89.392085,94.300593
20.834532,-90.876593,96.121766
20.951242,-91.139848,96.528140
21.101501,-91.362199,97.007238
21.180569,-91.372012,97.072685
21.301704,-90.891368,96.359128
21.384878,-89.866398,95.047172
21.418232,-88.765024,93.712836
21.568389,-86.375217,90.935583
21.682486,-84.648843,88.983778
21.735424,-83.907877,88.128068
21.868779,-83.537598,87.722828
22.019568,-83.256950,87.436522
22.069051,-83.294219,87.456397
22.169320,-84.127203,88.351702
22.319856,-85.261029,89.528479
22.369334,-86.288596,90.668823
22.452741,-87.302100,91.750860
22.569559,-88.791136,93.435821
22.686890,-90.089751,95.005357
22.746763,-90.899263,96.117823
22.863615,-91.228245,96.833961
22.953084,-91.285052,96.941638
23.069953,-90.596231,96.067020
23.186778,-89.330805,94.435860
23.213912,-88.219822,93.148065
23.330689,-85.944977,90.503831
23.447500,-84.861312,89.188730
23.537350,-84.302634,88.528674
23.654201,-83.620199,87.799193
23.771087,-83.604542,87.741458
23.854270,-84.101463,88.237345
23.970921,-85.206124,89.421036
24.087710,-86.001832,90.291534
24.120890,-87.793487,92.287983
24.265507,-91.198825,96.589056
24.382144,-92.012932,97.732440
24.438055,-91.558620,97.298030
24.571362,-91.667373,97.437611
24.705076,-91.824432,97.606121
24.755034,-91.757918,97.510212
24.888329,-91.744357,97.472752
24.988638,-91.364548,97.010510
25.067547,-90.546249,95.977479
25.189120,-89.265052,94.423263
25.334130,-88.270557,93.225159
25.334299,-87.572342,92.396657
25.450097,-86.072903,90.597710
25.567705,-85.749984,90.160084
25.655995,-86.565477,91.030277
25.772670,-87.496894,92.003470
25.889550,-88.480445,93.064139
25.917508,-89.632406,94.404437
26.033952,-91.707722,97.109548
26.151289,-92.820220,98.527311
26.239691,-93.214412,99.071114
26.389936,-92.328615,98.166044
26.551845,-92.308487,98.146611
26.551992,-92.201216,98.021948
26.640189,-92.103188,97.883992
26.840420,-91.790793,97.444350
26.840728,-90.458701,95.682438
26.957838,-89.660543,94.664150
27.074075,-87.298337,91.745252
27.135916,-87.462973,91.944600
27.252165,-87.448876,91.934567
27.369095,-88.399915,92.959889
27.457697,-89.400583,94.139719
27.574475,-89.805936,94.829432
27.691265,-91.656398,97.116855
27.718489,-93.375182,99.186919
27.834917,-93.130838,99.019782
27.969624,-92.616070,98.490420
28.041663,-92.309602,98.157630
28.192391,-92.284619,98.121233
28.270225,-92.273719,98.061295
28.341950,-92.108364,97.869684
28.475968,-91.444391,96.945807
28.592085,-90.388775,95.539171
28.625660,-89.306751,94.044115
28.742324,-88.036804,92.642030
28.859178,-87.994267,92.532946
28.942536,-88.736351,93.344517
29.060146,-89.019842,93.670676
29.176124,-89.318538,93.994011
29.236484,-89.816103,94.773896
29.353403,-91.018235,96.298200
29.470571,-92.318539,97.912751
29.526467,-92.473632,98.216070
29.676601,-92.267098,98.082162
29.810023,-92.391252,98.245634
29.837069,-92.376660,98.193317
29.987419,-92.464515,98.286901
30.093697,-92.421786,98.229868
30.121043,-92.527013,98.326734
30.327908,-92.662747,98.476895
30.405455,-92.737747,98.573190
30.494886,-92.877270,98.727229
30.578150,-92.779182,98.648657
30.694417,-93.162781,99.034494
30.727792,-93.274712,99.177522
30.844514,-93.388937,99.300965
30.994571,-93.322958,99.202580
31.021893,-92.562457,98.314154
31.156297,-91.912802,97.377024
31.274996,-90.232799,95.045930
31.328240,-85.718963,89.495229
31.462355,-82.293558,85.701459
31.612053,-80.217297,83.361163
31.662071,-79.893436,82.964145
31.762766,-80.178650,83.316165
31.895593,-80.945532,84.147744
31.945350,-81.071590,84.313882
32.079057,-81.792124,85.122334
32.195844,-82.549993,85.939954
32.223891,-82.871749,86.297549
32.340358,-83.092735,86.538928
32.456767,-82.886417,86.338051
32.546483,-82.483278,85.915888
32.662986,-82.102054,85.431031
32.779641,-81.699739,85.016487
32.806817,-81.144859,84.372855
32.924955,-80.953422,84.169928
33.096794,-81.078819,84.314481
33.130127,-81.198828,84.456520
33.253110,-81.141790,84.402768
33.363600,-81.081245,84.337427
33.447658,-80.936492,84.153167
33.563926,-80.791914,84.005869
33.741262,-80.666725,83.895513
33.741417,-80.593061,83.829973
33.857708,-80.556167,83.803506
34.048320,-80.574479,83.773581
34.048687,-80.280859,83.460117
34.181460,-79.576138,82.714574
34.242310,-79.404592,82.485728
34.364782,-79.288030,82.416258
34.464801,-79.189397,82.262018
34.614962,-79.190443,82.328001
34.665100,-79.253104,82.337260
34.749216,-79.215639,82.328816
34.881975,-79.302529,82.405760
34.959423,-79.278974,82.389198
35.065221,-79.476676,82.617968
35.181956,-80.045685,83.151365
35.208961,-80.285142,83.437011
35.415968,-80.550688,83.714489
35.443688,-80.741647,83.998817
35.532509,-80.572149,83.794300
35.649304,-83.274251,86.794661
35.766129,-88.289087,93.368269
35.850087,-91.058828,96.823349
35.966270,-91.556221,97.416039
36.083113,-91.905528,97.806516
36.199781,-92.110607,98.012191
36.259526,-92.242762,98.179961
36.376591,-92.085699,98.009842
36.434328,-92.064128,97.902294
36.550498,-90.346253,95.972545
36.667233,-82.752051,86.884701
36.727291,-76.136298,78.991269
36.843935,-77.689438,80.682379
36.977385,-81.481465,84.872213
37.035086,-82.819161,86.374433
37.167529,-82.907889,86.484107
37.350879,-83.024666,86.757407
37.351115,-83.774651,87.712332
37.484446,-88.799419,94.190007
37.568408,-92.483589,98.379694
37.628635,-92.747029,98.648858
37.818631,-92.439571,98.322032
37.895464,-92.103471,97.945505
37.951527,-92.284035,98.119629
38.085577,-92.382852,98.209934
38.166947,-92.482145,98.352928
38.251869,-88.971271,94.215310
38.368547,-79.082976,82.369958
38.485437,-75.770566,78.577219
38.512647,-77.454420,80.461817
38.645813,-81.395203,84.767090
38.778945,-82.498181,86.058449
38.835758,-82.594321,86.171157
38.969527,-82.700865,86.313410
39.085985,-82.842391,86.608021
39.119337,-86.702081,91.655074
39.263376,-91.772758,97.553734
39.379452,-92.396422,98.277910
39.436474,-92.333558,98.195892
39.553236,-92.219880,98.052989
39.669976,-92.259941,98.113865
39.730751,-92.594799,98.460105
39.846536,-92.447977,98.306347
39.963889,-91.565730,97.286676
40.080312,-84.953639,89.208384
40.170446,-77.943585,80.689956
40.303829,-78.771288,81.434954
40.331720,-81.596452,84.506364
40.448111,-81.930146,84.820211
40.564339,-81.859412,84.761906
40.654143,-82.284676,85.272358
40.771159,-82.428072,85.475855
40.888002,-82.520426,85.665696
40.915397,-82.997883,86.357824
41.032422,-85.368682,89.600605
41.149021,-91.013981,96.628405
41.238136,-92.684225,98.508799
41.419064,-92.731534,98.572512
41.489028,-92.589760,98.460074
41.638690,-91.834707,97.549978
41.688682,-91.775346,97.396334
41.772424,-91.589818,97.116520
41.834706,-91.204517,96.665549
41.950497,-90.966422,96.222754
42.066865,-90.714173,95.886375
42.155779,-90.127472,95.041519
42.272404,-89.203175,93.526441
42.389038,-87.035126,89.345125
42.417150,-81.475189,73.729923
42.533016,-77.990560,68.459626
42.678642,-76.539531,66.822919
42.772990,-77.260032,67.747412
42.873190,-77.684863,68.397460
43.007328,-77.776988,68.458691
43.084164,-77.639988,68.207038
43.174001,-77.685671,68.303762
43.290013,-77.707618,68.321129
43.317904,-78.870972,71.183845
43.434450,-82.584713,80.432105
43.551483,-88.853129,93.824455
43.640821,-90.578795,96.196629
43.757361,-91.080247,96.778034
43.874106,-91.133605,96.838610
43.957501,-90.848788,96.489360
44.074328,-90.105504,95.512210
44.191677,-88.736426,93.465995
44.224439,-84.325810,82.391790
44.341181,-78.692159,68.932665
44.485322,-76.539967,66.208941
44.541437,-76.257923,65.873697
44.691850,-77.233119,67.062523
44.768478,-77.850595,67.979756
44.825805,-78.269658,68.793634
44.958609,-78.307742,68.765365
45.092778,-77.754621,67.735364
45.125697,-77.970389,67.894672
45.242177,-80.267706,74.636167
45.358909,-86.737290,89.989600
45.442389,-90.162984,95.614699
45.559104,-90.839846,96.435219
45.676643,-91.003073,96.670074
45.736458,-90.413846,95.979902
45.852430,-88.833183,93.997690
45.969522,-85.773602,88.915719
46.086491,-80.177722,73.037327
46.176444,-79.271708,70.839650
46.293107,-80.036377,75.053629
46.324731,-81.247287,79.245033
46.441527,-82.188268,81.021454
46.556680,-82.876574,82.547041
46.643648,-83.502277,84.806180
46.760400,-84.100052,85.888388
46.877197,-83.463003,83.331394
46.906024,-83.429873,82.055313
47.077392,-82.698822,80.645951
47.194710,-81.674953,78.169474
47.227554,-81.749448,76.560095
47.360880,-84.204529,82.452557
47.477776,-87.960404,92.262409
47.505877,-89.298442,94.571048
47.639120,-89.742271,95.188378
47.773369,-89.780900,95.224391
47.844695,-89.263512,94.609649
47.978090,-88.540252,93.520669
48.112502,-87.300635,91.177056
48.144925,-85.757267,87.969616
48.261854,-82.199362,75.961577
48.378513,-81.165722,74.830804
48.406432,-81.797927,79.382609
48.523038,-83.711544,84.028228
48.696221,-85.817095,89.382361
48.728928,-86.574629,90.812313
48.845668,-87.467922,92.170298
48.962503,-88.128708,92.957604
49.045745,-88.229493,92.849819
49.162709,-86.753611,90.006893
49.280096,-84.142774,82.569785
49.340061,-83.020838,79.505169
49.456567,-83.341586,79.598033
49.573606,-87.756579,90.438790
49.629933,-91.335554,96.921450
49.763468,-92.104224,97.941792
49.896771,-92.345095,98.179435
49.946757,-92.364399,98.196220
50.080237,-92.321661,98.163962
50.213818,-92.180508,97.983832
50.313836,-91.490806,97.185259
50.390831,-90.512575,95.911613
50.480719,-89.532371,94.438368
50.508194,-87.036648,88.663315
50.624608,-83.003824,79.912114
50.864350,-84.560475,84.223404
50.864657,-86.581528,89.848314
50.964756,-90.267084,95.506153
51.098701,-93.274661,99.217620
51.147948,-93.498006,99.450612
51.281443,-93.593796,99.500848
51.398759,-93.562012,99.471841
51.478252,-93.429999,99.285723
51.598471,-92.649229,98.163918
51.699286,-91.840324,97.044073
51.777883,-90.287601,94.538415
51.865388,-87.126791,86.928012
52.099026,-84.729089,81.967335
52.099459,-89.376243,93.677694
52.127007,-91.771471,97.417006
52.243946,-92.415829,98.267436
52.332508,-92.544028,98.429389
52.465943,-92.622895,98.517417
52.643729,-92.743110,98.616428
52.643887,-92.756158,98.678141
52.776686,-92.807390,98.694864
52.949770,-92.766146,98.675717
52.950082,-92.780413,98.627038
53.066683,-92.819626,98.706887
53.183428,-92.842260,98.791118
53.243736,-92.847170,98.708880
53.361472,-92.648803,98.467008
53.477614,-92.181783,98.012286
53.533751,-91.486951,97.155465
53.650614,-91.454741,97.052204
53.767301,-91.105023,96.423626
53.827279,-89.311091,93.917690
