Time (s),impedance_phase_deg
28.942536,-43.550248
29.060146,-43.541711
29.176124,-43.538961
29.236484,-43.461497
29.353403,-43.385408
29.470571,-43.315564
29.526467,-43.275114
29.676601,-43.250190
29.810023,-43.241023
29.837069,-43.251737
29.987419,-43.251680
30.093697,-43.255060
30.121043,-43.259415
30.327908,-43.257696
30.405455,-43.252883
30.494886,-43.251221
30.578150,-43.243773
30.694417,-43.250133
30.727792,-43.243200
30.844514,-43.242627
30.994571,-43.250763
31.021893,-43.274025
31.156297,-43.346504
31.274996,-43.511917
31.328240,-43.765336
31.462355,-43.837873
31.612053,-43.898950
31.662071,-43.919806
31.762766,-43.900612
31.895593,-43.888809
31.945350,-43.876891
32.079057,-43.857010
32.195844,-43.847384
32.223891,-43.839878
32.340358,-43.836154
32.456767,-43.831513
32.546483,-43.832258
32.662986,-43.861650
32.779641,-43.860275
32.806817,-43.882735
32.924955,-43.884053
33.096794,-43.879240
33.130127,-43.873396
33.253110,-43.871505
33.363600,-43.872307
33.447658,-43.883767
33.563926,-43.882735
33.741262,-43.875974
33.741417,-43.872193
33.857708,-43.868125
34.048320,-43.884855
34.048687,-43.887663
34.181460,-43.892132
34.242310,-43.909664
34.364782,-43.891731
34.464801,-43.909722
34.614962,-43.887147
34.665100,-43.906570
34.749216,-43.895971
34.881975,-43.900612
34.959423,-43.897861
35.065221,-43.889783
35.181956,-43.909779
35.208961,-43.897117
35.415968,-43.896601
35.443688,-43.867323
35.532509,-43.876948
35.649304,-43.814152
35.766129,-43.398414
35.850087,-43.242627
35.966270,-43.223891
36.083113,-43.218391
36.199781,-43.222058
36.259526,-43.214151
36.376591,-43.215010
36.434328,-43.239705
36.550498,-43.270358
36.667233,-43.604450
36.727291,-43.945646
36.843935,-43.917342
36.977385,-43.832315
37.035086,-43.796219
37.167529,-43.790546
37.350879,-43.740527
37.351115,-43.684607
37.484446,-43.312642
37.568408,-43.230595
37.628635,-43.233803
37.818631,-43.233746
37.895464,-43.239304
37.951527,-43.244518
38.085577,-43.248815
38.166947,-43.237929
38.251869,-43.360255
38.368547,-43.833690
38.485437,-43.958251
38.512647,-43.908977
38.645813,-43.837472
38.778945,-43.789973
38.835758,-43.785848
38.969527,-43.775535
39.085985,-43.726948
39.119337,-43.409300
39.263376,-43.251049
39.379452,-43.233230
39.436474,-43.237642
39.553236,-43.244059
39.669976,-43.238731
39.730751,-43.241596
39.846536,-43.240908
39.963889,-43.264858
40.080312,-43.600554
40.170446,-44.008156
40.303829,-44.047461
40.331720,-43.996353
40.448111,-44.007067
40.564339,-44.002025
40.654143,-43.978477
40.771159,-43.960085
40.888002,-43.928629
40.915397,-43.863427
41.032422,-43.614476
41.149021,-43.286172
41.238136,-43.255060
41.419064,-43.251164
41.489028,-43.240049
41.638690,-43.271447
