Time (s),lin_accel_x,lin_accel_y,lin_accel_z
7.720931,-0.770000,0.480000,8.370000
7.839194,-0.760000,0.120000,17.110000
7.895152,-1.840000,9.810000,10.210000
7.900097,0.790000,24.010000,-8.170000
7.958782,0.880000,7.700000,-1.680000
8.075167,-0.110000,7.660000,-2.640000
8.078566,-0.680000,7.160000,-2.430000
8.135296,-1.030000,3.910000,0.340000
8.195460,-3.540000,1.610000,2.660000
8.199203,-3.460000,0.000000,4.070000
8.376408,-0.110000,-1.270000,4.070000
8.378510,0.790000,-2.270000,7.760000
8.444963,-0.280000,-15.770000,3.030000
8.444984,8.860000,-13.160000,0.540000
8.497932,3.060000,-1.580000,2.250000
8.555563,-0.050000,-1.980000,3.770000
8.734666,-0.670000,-0.520000,1.010000
8.738659,-0.300000,-0.360000,0.500000
8.921247,-0.090000,-0.500000,-0.310000
8.921642,-0.120000,-0.220000,-0.370000
8.937915,-0.110000,0.020000,-0.390000
8.980450,-0.120000,0.230000,-0.430000
9.037539,-0.130000,0.480000,-0.330000
9.042604,-0.150000,0.440000,-0.030000
9.095195,-0.150000,0.400000,0.250000
9.215085,-0.180000,0.450000,0.890000
9.217967,-0.120000,0.420000,0.710000
9.275586,-0.470000,0.630000,1.310000
9.335471,-0.420000,0.990000,3.920000
9.395992,-0.680000,0.390000,7.010000
9.399201,-0.560000,-0.210000,11.130000
9.521999,-3.380000,9.230000,1.080000
9.522368,3.200000,6.110000,-8.020000
9.635112,-1.910000,4.410000,-4.030000
9.758671,2.130000,2.260000,-3.270000
9.761912,1.000000,1.250000,-3.350000
9.817601,0.330000,-0.540000,-1.730000
9.875422,1.260000,-2.620000,-0.580000
9.934302,0.240000,-4.290000,0.370000
