Master Time (s),gravity_x,gravity_y,gravity_z,lin_accel_x,lin_accel_y,lin_accel_z
0.035768,,,,0.000000,0.110000,-0.390000
0.038778,-0.200000,-0.450000,9.790000,,,
0.043254,-0.200000,-0.450000,9.790000,,,
0.043279,,,,0.000000,0.110000,-0.410000
0.099097,,,,0.000000,0.130000,-0.400000
0.155089,-0.200000,-0.450000,9.790000,,,
0.156254,,,,-0.010000,0.110000,-0.410000
0.159058,-0.200000,-0.450000,9.790000,,,
0.275235,,,,0.010000,0.110000,-0.410000
0.276027,-0.200000,-0.450000,9.790000,,,
0.277967,,,,-0.020000,0.140000,-0.380000
0.280058,-0.200000,-0.450000,9.790000,,,
0.335483,,,,0.000000,0.110000,-0.400000
0.337314,-0.200000,-0.450000,9.790000,,,
0.395442,,,,0.000000,0.130000,-0.410000
0.397484,-0.200000,-0.450000,9.790000,,,
0.399318,,,,0.000000,0.120000,-0.410000
0.401089,-0.200000,-0.450000,9.790000,,,
0.455517,,,,0.000000,0.130000,-0.390000
0.457440,-0.200000,-0.450000,9.790000,,,
0.574737,,,,-0.010000,0.100000,-0.410000
0.580236,-0.200000,-0.450000,9.790000,,,
0.580308,,,,0.000000,0.110000,-0.410000
0.580764,-0.200000,-0.450000,9.790000,,,
0.636638,,,,0.000000,0.100000,-0.420000
0.694092,-0.200000,-0.450000,9.790000,,,
0.695860,,,,-0.010000,0.120000,-0.400000
0.697787,-0.200000,-0.450000,9.790000,,,
0.755591,,,,-0.010000,0.110000,-0.390000
0.757301,-0.200000,-0.450000,9.790000,,,
0.759351,,,,-0.020000,0.110000,-0.410000
0.761086,-0.200000,-0.450000,9.790000,,,
0.874384,,,,-0.010000,0.130000,-0.420000
0.876200,-0.200000,-0.450000,9.790000,,,
0.878408,,,,-0.010000,0.100000,-0.420000
0.880014,-0.200000,-0.450000,9.790000,,,
0.935188,,,,0.000000,0.080000,-0.430000
0.937106,-0.200000,-0.450000,9.790000,,,
0.997369,,,,0.000000,0.080000,-0.410000
0.997566,-0.200000,-0.450000,9.790000,,,
1.058999,,,,0.000000,0.080000,-0.430000
1.059415,-0.200000,-0.450000,9.790000,,,
1.175132,,,,-0.020000,0.080000,-0.420000
1.176096,-0.200000,-0.450000,9.790000,,,
1.177993,,,,0.000000,0.100000,-0.410000
1.180780,-0.200000,-0.450000,9.790000,,,
1.235739,,,,0.000000,0.080000,-0.410000
1.237297,-0.200000,-0.450000,9.790000,,,
1.239317,,,,-0.010000,0.090000,-0.380000
1.295729,-0.200000,-0.450000,9.790000,,,
1.297500,,,,0.000000,0.070000,-0.390000
1.299328,-0.200000,-0.450000,9.790000,,,
1.355528,,,,0.000000,0.100000,-0.400000
1.357356,-0.200000,-0.450000,9.790000,,,
1.415331,,,,0.000000,0.070000,-0.390000
1.417385,-0.200000,-0.450000,9.790000,,,
1.534297,,,,-0.010000,0.100000,-0.400000
1.535852,-0.200000,-0.450000,9.790000,,,
1.537908,,,,0.000000,0.080000,-0.400000
1.539788,-0.200000,-0.450000,9.790000,,,
1.595686,,,,0.000000,0.090000,-0.370000
1.597352,-0.200000,-0.450000,9.790000,,,
1.655400,,,,0.000000,0.090000,-0.400000
1.657362,-0.200000,-0.450000,9.790000,,,
1.659422,,,,-0.020000,0.100000,-0.380000
1.661007,-0.200000,-0.450000,9.790000,,,
1.721723,,,,0.000000,0.070000,-0.390000
1.721749,-0.200000,-0.450000,9.790000,,,
1.776849,,,,0.000000,0.060000,-0.390000
1.777360,-0.200000,-0.450000,9.790000,,,
1.835589,,,,0.000000,0.070000,-0.410000
1.894614,-0.210000,-0.450000,9.790000,,,
1.896492,,,,-0.010000,0.050000,-0.380000
1.898511,-0.210000,-0.450000,9.790000,,,
1.955712,,,,0.000000,0.050000,-0.400000
1.957329,-0.210000,-0.450000,9.790000,,,
1.959327,,,,0.010000,0.050000,-0.370000
2.015082,-0.210000,-0.450000,9.790000,,,
2.016609,,,,0.000000,0.040000,-0.410000
2.018539,-0.210000,-0.450000,9.790000,,,
2.076222,,,,-0.010000,0.050000,-0.400000
2.077080,-0.210000,-0.450000,9.790000,,,
2.138210,,,,-0.010000,0.030000,-0.370000
2.138456,-0.210000,-0.450000,9.790000,,,
2.202703,,,,-0.010000,0.060000,-0.390000
2.262412,-0.210000,-0.450000,9.790000,,,
2.262473,,,,0.000000,0.050000,-0.430000
2.262683,-0.210000,-0.450000,9.790000,,,
2.375607,,,,-0.020000,0.060000,-0.410000
2.377358,-0.210000,-0.450000,9.790000,,,
2.379299,,,,0.000000,0.070000,-0.430000
2.381494,-0.210000,-0.450000,9.790000,,,
2.494816,,,,0.000000,0.080000,-0.400000
2.495960,-0.210000,-0.450000,9.790000,,,
2.498026,,,,-0.020000,0.070000,-0.400000
2.499809,-0.210000,-0.450000,9.790000,,,
2.555473,,,,0.000000,0.090000,-0.390000
2.557492,-0.210000,-0.450000,9.790000,,,
2.615633,,,,0.000000,0.100000,-0.430000
2.617240,-0.210000,-0.450000,9.790000,,,
2.619220,,,,0.000000,0.090000,-0.430000
2.621051,-0.210000,-0.450000,9.790000,,,
2.678319,,,,0.000000,0.070000,-0.410000
2.678367,-0.210000,-0.450000,9.790000,,,
2.738635,,,,0.000000,0.080000,-0.420000
2.738686,-0.210000,-0.450000,9.790000,,,
2.796662,,,,-0.010000,0.070000,-0.430000
2.797168,-0.210000,-0.450000,9.790000,,,
2.914522,,,,-0.010000,0.080000,-0.420000
2.921707,-0.210000,-0.450000,9.790000,,,
2.921732,,,,0.000000,0.090000,-0.400000
2.922053,-0.210000,-0.450000,9.790000,,,
2.975671,,,,-0.010000,0.070000,-0.430000
2.977315,-0.210000,-0.450000,9.790000,,,
3.035375,,,,0.000000,0.070000,-0.410000
3.037315,-0.210000,-0.450000,9.790000,,,
3.039399,,,,-0.010000,0.030000,-0.370000
3.041151,-0.210000,-0.450000,9.790000,,,
3.095480,,,,-0.030000,0.060000,-0.400000
3.097415,-0.210000,-0.450000,9.790000,,,
3.155470,,,,-0.020000,0.050000,-0.440000
3.157247,-0.210000,-0.450000,9.790000,,,
3.220499,,,,0.000000,0.070000,-0.390000
3.220524,-0.210000,-0.450000,9.790000,,,
3.275242,,,,0.000000,0.070000,-0.410000
3.283670,-0.210000,-0.450000,9.790000,,,
3.335572,,,,-0.020000,0.050000,-0.410000
3.346499,-0.210000,-0.450000,9.790000,,,
3.346550,-0.210000,-0.440000,9.790000,,,
3.346573,,,,0.000000,0.040000,-0.410000
3.395236,,,,0.000000,0.030000,-0.420000
3.406561,-0.210000,-0.440000,9.790000,,,
3.457616,,,,-0.020000,0.030000,-0.420000
3.458383,-0.210000,-0.430000,9.790000,,,
3.515593,,,,-0.020000,0.020000,-0.390000
3.517307,-0.210000,-0.430000,9.790000,,,
3.637043,,,,-0.020000,0.040000,-0.390000
3.637134,-0.210000,-0.430000,9.790000,,,
3.637783,,,,-0.010000,0.020000,-0.400000
3.639653,-0.210000,-0.430000,9.790000,,,
3.703244,-0.210000,-0.440000,9.790000,,,
3.703267,,,,-0.030000,0.040000,-0.420000
3.703426,,,,-0.020000,0.020000,-0.370000
3.814602,-0.210000,-0.450000,9.790000,,,
3.816489,,,,-0.030000,-0.030000,-0.420000
3.818634,-0.210000,-0.450000,9.790000,,,
3.820285,,,,-0.010000,-0.080000,-0.400000
3.822486,-0.220000,-0.440000,9.790000,,,
3.875407,,,,0.010000,-0.100000,-0.340000
3.934640,-0.230000,-0.440000,9.790000,,,
3.935989,,,,-0.010000,-0.090000,-0.350000
3.937974,-0.230000,-0.440000,9.790000,,,
4.056520,,,,0.000000,-0.070000,-0.370000
4.114610,-0.230000,-0.440000,9.790000,,,
4.116838,,,,-0.010000,-0.030000,-0.400000
4.118655,-0.220000,-0.460000,9.790000,,,
4.120411,,,,-0.020000,0.020000,-0.430000
4.122301,-0.210000,-0.470000,9.790000,,,
4.176076,,,,-0.040000,0.100000,-0.360000
