Master Time (s),mag_x,mag_y,mag_z
7.596062,-3.250000,-3.060000,-49.060000
7.656047,-3.690000,-1.250000,-48.690000
7.717650,-4.000000,1.250000,-48.250000
7.721220,-4.000000,4.560000,-48.250000
7.839221,-3.690000,11.500000,-46.000000
7.895190,-4.060000,19.880000,-44.000000
7.900182,-4.380000,28.380000,-37.380000
7.958816,-2.560000,33.060000,-32.750000
8.075702,1.880000,26.380000,-36.380000
8.079417,7.250000,18.500000,-38.250000
8.136090,10.500000,11.190000,-39.560000
8.196019,20.000000,5.190000,-39.500000
8.199826,28.190000,-0.060000,-39.750000
8.376460,31.380000,-4.750000,-40.060000
8.379380,23.690000,-13.690000,-38.190000
8.444911,7.060000,-24.190000,-31.060000
8.445261,6.750000,-29.000000,-26.500000
8.497960,12.060000,-29.750000,-23.060000
8.556067,11.690000,-27.880000,-26.560000
8.735778,6.060000,-23.750000,-31.190000
8.739205,6.250000,-18.060000,-36.250000
8.921200,6.690000,-11.750000,-38.690000
8.921783,7.060000,-10.690000,-38.250000
8.937982,6.750000,-10.000000,-39.380000
8.980034,5.880000,-10.380000,-39.750000
9.042266,5.880000,-10.380000,-38.190000
9.042630,6.690000,-9.560000,-38.560000
9.095890,7.000000,-9.250000,-40.190000
9.215123,6.690000,-9.250000,-39.750000
9.218615,6.060000,-8.190000,-39.750000
9.276020,7.500000,-7.060000,-39.380000
9.336025,7.880000,-4.500000,-39.750000
9.396294,7.060000,0.880000,-40.690000
9.399813,8.000000,6.690000,-39.500000
9.522091,8.380000,15.750000,-38.250000
9.522770,7.000000,21.190000,-34.060000
9.755218,6.000000,26.000000,-31.000000
9.759034,3.380000,25.190000,-32.500000
9.815432,3.000000,21.190000,-33.250000
9.818081,-2.500000,11.880000,-35.380000
9.876018,-4.690000,7.880000,-37.380000
9.934570,-6.500000,5.000000,-37.060000
