Time (s),gravity_x,gravity_y,gravity_z
4.114610,-0.230000,-0.440000,9.790000
4.118655,-0.220000,-0.460000,9.790000
4.122301,-0.210000,-0.470000,9.790000
4.180680,-0.190000,-0.510000,9.790000
4.237974,-0.180000,-0.540000,9.780000
4.240962,-0.230000,-0.560000,9.780000
4.297011,-0.370000,-0.810000,9.760000
4.416464,-0.540000,-1.340000,9.690000
4.479970,-0.630000,-2.100000,9.550000
4.534947,-0.630000,-3.170000,9.250000
4.538659,-0.400000,-4.550000,8.670000
4.595952,-0.030000,-5.900000,7.830000
4.599761,0.210000,-7.100000,6.750000
4.716003,0.250000,-8.140000,5.440000
4.719794,0.030000,-8.110000,5.500000
4.896627,0.020000,-7.520000,6.280000
4.903113,0.270000,-6.450000,7.370000
5.016061,0.210000,-2.710000,9.420000
5.019800,-0.010000,-0.520000,9.790000
5.077285,-0.450000,2.580000,9.440000
5.136057,-0.520000,4.030000,8.920000
5.139834,-1.190000,4.600000,8.570000
5.197198,-1.240000,4.070000,8.830000
5.316903,-0.220000,2.850000,9.370000
5.319781,-0.160000,1.260000,9.720000
5.379073,-0.280000,0.070000,9.800000
5.439068,-0.160000,-0.220000,9.800000
5.496246,-0.150000,-0.300000,9.800000
5.498349,-0.130000,-0.400000,9.790000
5.618553,-0.120000,-0.490000,9.790000
5.620276,-0.140000,-0.550000,9.780000
5.677348,-0.230000,-0.590000,9.780000
5.737422,-0.310000,-0.610000,9.780000
5.797260,-0.370000,-0.690000,9.770000
5.801006,-0.420000,-0.810000,9.760000
5.915782,-0.420000,-0.980000,9.740000
5.919651,-0.390000,-1.220000,9.720000
5.977599,-0.420000,-1.560000,9.670000
6.099303,-0.430000,-2.200000,9.540000
6.107632,-0.370000,-2.890000,9.360000
6.157341,-0.160000,-3.990000,8.950000
6.216081,0.100000,-5.340000,8.220000
6.219943,0.490000,-6.920000,6.920000
6.277289,0.910000,-8.390000,4.990000
6.395142,1.040000,-9.240000,3.100000
6.398469,0.890000,-8.760000,4.290000
6.457371,0.970000,-7.890000,5.730000
6.580401,1.200000,-6.610000,7.130000
6.580934,1.130000,-4.770000,8.490000
6.639609,0.780000,-2.030000,9.560000
6.698020,0.300000,0.270000,9.790000
6.700973,-0.110000,2.310000,9.520000
6.758310,0.250000,3.550000,9.130000
6.876497,-0.220000,4.120000,8.890000
6.880314,0.240000,3.090000,9.300000
6.937316,0.180000,1.840000,9.620000
6.997333,-0.090000,0.790000,9.770000
7.057992,-0.240000,-0.150000,9.800000
7.058411,-0.230000,-0.280000,9.790000
7.179997,-0.220000,-0.350000,9.790000
7.180158,-0.180000,-0.440000,9.790000
7.301302,-0.130000,-0.530000,9.790000
7.302023,-0.090000,-0.590000,9.780000
7.357475,-0.070000,-0.600000,9.780000
7.416092,-0.110000,-0.720000,9.770000
7.478114,-0.130000,-0.910000,9.760000
7.480649,-0.100000,-1.090000,9.740000
7.539035,-0.090000,-1.330000,9.710000
7.597416,-0.060000,-1.690000,9.650000
7.714969,-0.090000,-2.220000,9.540000
7.718604,0.060000,-3.030000,9.320000
7.775199,0.340000,-4.370000,8.770000
7.839269,0.770000,-6.610000,7.190000
7.896046,1.050000,-8.210000,5.240000
7.900209,0.720000,-9.030000,3.730000
7.959878,0.340000,-8.410000,5.010000
8.076666,0.490000,-7.580000,6.200000
8.080509,0.930000,-6.530000,7.250000
8.137478,0.820000,-4.700000,8.560000
8.197258,0.950000,-2.740000,9.360000
8.201435,0.910000,-1.040000,9.700000
8.376829,0.560000,0.730000,9.760000
8.380527,0.500000,2.130000,9.550000
8.438852,-0.460000,4.450000,8.720000
8.495101,-1.560000,4.630000,8.490000
8.500457,-0.970000,3.750000,9.000000
8.557681,-0.170000,2.010000,9.590000
8.736652,-0.450000,0.650000,9.770000
8.740386,-0.390000,-0.150000,9.790000
8.921494,-0.320000,-0.320000,9.790000
8.937954,-0.290000,-0.380000,9.790000
8.979958,-0.240000,-0.430000,9.790000
8.980793,-0.190000,-0.480000,9.790000
9.042332,-0.160000,-0.490000,9.790000
9.042764,-0.150000,-0.490000,9.790000
9.098653,-0.190000,-0.500000,9.790000
9.216047,-0.250000,-0.730000,9.770000
9.219833,-0.270000,-1.160000,9.730000
9.277321,-0.320000,-1.840000,9.620000
9.337287,-0.290000,-2.840000,9.370000
9.397209,-0.250000,-4.790000,8.540000
9.401056,-0.150000,-6.440000,7.380000
9.522069,0.060000,-7.550000,6.250000
9.522742,0.490000,-8.080000,5.530000
9.755616,0.420000,-7.870000,5.830000
9.760590,0.260000,-7.410000,6.410000
9.817191,0.600000,-6.820000,7.010000
9.819294,1.000000,-5.480000,8.060000
9.877310,0.980000,-5.070000,8.330000
9.935802,1.030000,-4.840000,8.460000
