Time (s),lin_accel_x,lin_accel_y,lin_accel_z
11.025010,-0.360000,1.120000,-1.590000
11.025810,-0.340000,-0.260000,-0.710000
11.134511,-0.030000,0.490000,-0.960000
11.192160,0.030000,-0.330000,-0.310000
11.193103,0.110000,0.410000,-0.540000
11.326233,0.360000,-0.240000,-1.150000
11.442762,0.260000,-0.430000,-0.840000
11.492825,0.200000,-0.730000,-0.910000
11.550973,0.200000,0.140000,-0.200000
11.609557,0.100000,0.410000,-0.190000
11.692553,-0.170000,-0.880000,-0.460000
11.717509,0.190000,-0.970000,0.270000
11.859788,1.740000,1.960000,0.710000
11.909822,0.450000,0.840000,0.110000
11.943386,-0.020000,1.120000,-0.050000
12.110072,0.750000,0.050000,-1.340000
12.160436,0.530000,-0.850000,-1.030000
12.218795,-0.030000,-0.440000,-0.910000
12.276814,0.010000,-0.170000,-0.240000
12.278247,0.210000,-1.060000,-0.970000
12.401887,0.310000,2.960000,0.260000
12.460956,-0.090000,-0.690000,-0.330000
12.568093,6.430000,3.160000,1.520000
12.627161,0.810000,-2.820000,2.250000
12.710644,0.270000,-1.430000,0.140000
12.810687,0.390000,-0.910000,-0.430000
12.860761,-0.120000,-0.710000,-1.240000
12.944748,0.500000,-0.930000,-0.940000
12.977441,-1.110000,-0.640000,-1.580000
13.127908,-0.390000,0.270000,-1.200000
13.160752,-0.920000,5.590000,-2.780000
13.244465,2.770000,-2.870000,-1.470000
13.294901,-2.510000,4.290000,-4.770000
13.411390,-0.250000,2.690000,-1.180000
13.511087,-0.130000,-0.510000,-0.660000
13.570789,-0.220000,-0.380000,0.220000
13.669559,-0.050000,1.440000,-1.250000
13.778573,0.120000,0.600000,-0.360000
13.838644,0.120000,-0.060000,-0.760000
13.894864,0.250000,-0.200000,-0.750000
13.945727,0.140000,-0.020000,-0.450000
13.978930,0.190000,-0.190000,-0.230000
14.078476,-0.060000,-0.140000,-0.790000
14.128832,2.200000,1.210000,-0.690000
14.187662,1.150000,-0.340000,-0.420000
14.244678,2.500000,-0.580000,-0.460000
14.329013,7.070000,0.050000,-0.210000
14.378972,3.630000,2.310000,1.810000
14.412129,3.420000,-3.930000,1.270000
14.511902,0.450000,-1.540000,-4.100000
14.562608,0.930000,-6.830000,0.840000
14.596058,1.680000,-2.650000,-0.790000
14.679188,1.580000,-1.220000,-1.300000
14.729368,1.480000,-1.820000,-1.300000
14.845527,1.840000,1.640000,-2.420000
14.929447,4.480000,5.180000,0.110000
14.979749,-2.590000,4.050000,1.040000
15.036708,-0.260000,5.150000,1.290000
15.146930,-2.610000,8.080000,-1.770000
15.205088,-0.020000,1.580000,-0.910000
15.262970,1.370000,-1.360000,0.370000
15.346625,0.020000,1.360000,-0.820000
15.455637,0.130000,-0.070000,-1.780000
15.513046,0.140000,0.410000,-0.800000
15.514057,0.080000,0.820000,-0.770000
15.696363,0.000000,0.070000,-0.960000
15.747028,0.250000,-0.080000,-0.850000
15.805447,0.230000,0.170000,-0.420000
15.863554,1.610000,-0.780000,-0.890000
15.947040,2.910000,-0.630000,-1.450000
15.997450,4.050000,0.000000,-0.450000
16.056298,5.930000,-0.570000,-0.650000
16.113987,6.070000,-0.880000,-0.120000
16.164260,4.150000,-4.260000,1.930000
16.247682,3.200000,-10.490000,-0.900000
16.280793,0.940000,-3.050000,-0.900000
16.364502,0.920000,-5.460000,1.290000
16.414662,0.500000,0.650000,-0.310000
16.473319,2.420000,0.170000,2.040000
16.531235,3.060000,5.200000,-0.030000
