Time (s),estimated_weight
0.069125,13.372749
0.115046,11.495000
0.181365,8.250750
0.214534,8.576250
0.280947,8.316999
0.338065,8.919499
0.415063,10.626501
0.481565,10.770249
0.514902,8.733500
0.582563,5.345250
0.639727,2.007000
0.715286,1.429250
0.781919,1.435750
0.815419,1.413750
0.865760,1.398000
0.924908,1.438000
0.998983,1.320500
1.049247,1.485250
1.106927,1.295000
1.166059,1.297500
1.249390,1.232500
1.299831,1.357500
1.332981,1.410750
1.415439,1.313250
1.466277,1.788250
1.549495,1.885250
1.582923,2.157500
1.732935,5.873000
1.765877,19.054251
1.849502,28.107750
1.899762,37.491497
1.956897,45.522999
2.066993,52.826500
2.316864,54.757500
2.317403,51.179253
2.433713,58.338749
2.567381,55.654758
2.567688,9.801250
2.601114,2.120500
2.750623,1.957750
2.784141,2.579250
2.784756,2.554000
2.934481,2.245250
2.967177,1.882750
3.050678,2.017250
3.101675,2.031750
3.133765,2.154000
3.217247,1.663750
3.268292,1.783500
3.325865,3.135500
3.384547,3.163250
3.467611,10.864250
3.518441,32.654499
3.575284,35.926003
3.684811,36.389004
3.768970,30.370251
3.801842,33.735249
3.802734,36.713505
3.951893,34.534996
3.985263,36.691250
4.068352,39.301498
4.177209,43.138000
4.235037,25.519747
4.285764,4.994999
4.369383,1.666750
4.536261,1.897750
4.594516,1.995750
4.652677,1.704000
4.702385,1.500500
4.786780,1.404750
4.819178,1.692000
4.952736,1.429500
4.953280,2.514000
5.119658,11.628750
5.219184,20.832249
5.252504,22.954248
5.304346,30.528999
5.363188,28.663498
5.420322,31.723001
5.503438,38.744751
5.554498,45.032501
5.612568,51.994751
5.720279,63.273006
5.803962,65.401497
5.837078,11.317248
5.970661,2.294500
5.970858,1.963500
6.086862,1.814000
6.221093,1.420000
6.278698,1.344750
6.337947,1.375750
6.404168,1.420500
6.463103,1.404250
6.521204,1.660500
6.571917,2.945750
6.629056,2.892000
6.738183,15.960750
6.821933,40.269001
6.879735,31.542747
6.988031,35.822498
7.072049,44.248493
7.154865,46.922501
7.238697,45.264000
7.296156,55.710495
7.355606,52.297497
7.488794,16.247751
7.521949,1.698000
7.604970,1.060750
7.655517,1.335500
7.772038,1.220000
7.772608,1.269500
7.906607,1.160250
8.022438,1.153500
8.072805,1.188000
8.131029,1.299000
8.190129,1.416750
8.239529,1.448000
8.323028,1.413500
8.356086,1.372750
8.439181,1.217000
8.490201,1.819750
8.606632,2.991500
8.740044,5.023250
8.856111,4.298250
8.906870,2.938250
