Time (s),estimated_weight
8.964929,3.394750
9.023462,3.582000
9.106703,2.279500
9.190328,7.450750
9.273205,16.110001
9.324191,22.963249
9.440643,33.832249
9.523517,43.856995
9.574383,34.323250
9.632698,30.231997
9.741218,45.460499
9.857227,71.098007
10.049518,68.653992
10.108211,16.975750
10.190945,3.288750
10.241430,1.585000
10.274519,1.397500
10.408675,1.657000
10.491671,1.607500
10.524727,1.332000
10.608522,1.557500
10.658385,1.257000
10.716817,1.173000
10.775128,1.173750
10.825710,1.266500
10.885470,1.322750
10.942369,1.854000
11.025588,2.734750
11.108956,5.954500
11.134783,10.341750
11.192877,14.622749
11.325830,20.285751
11.442417,24.600250
11.443030,26.531750
11.550666,24.560499
11.609702,23.501249
11.659640,21.276249
11.717241,19.698248
11.775622,24.947752
11.860257,32.404751
11.909968,75.889244
11.943574,86.485748
12.076833,63.976246
12.110174,41.901501
12.193421,29.816750
12.276362,26.448000
12.277998,16.479250
12.401621,8.679501
12.460535,2.888750
12.461401,1.520250
12.626900,1.203750
12.710061,1.279000
12.810165,1.291750
12.834485,1.241250
12.944487,1.114000
12.976916,1.210500
13.127637,1.247250
13.160861,1.273250
13.244040,1.967250
13.294764,4.117000
13.355249,24.476500
13.411661,47.044250
13.570346,50.513752
13.669312,46.923000
13.778311,35.197754
13.812137,27.297750
13.894369,35.238503
13.945470,39.159752
13.978788,41.656750
14.078174,47.541996
14.128590,52.748501
14.187413,58.401001
14.245259,55.416752
14.328603,24.954748
14.378705,3.342250
14.411637,1.872500
14.413954,1.669750
14.562365,1.613750
14.595379,1.479500
14.678648,1.713000
14.729092,1.379000
14.845957,1.419500
14.929020,1.154500
14.979492,1.420000
15.012606,1.407750
15.146681,1.522750
15.179360,2.419500
15.262859,13.388250
15.346057,13.201000
15.430023,16.489250
15.455930,18.604750
15.513833,23.210999
15.637801,23.719751
15.696894,28.647999
15.747306,32.832001
15.830391,36.719997
15.863753,43.641998
15.946637,46.303497
15.997176,28.901253
16.056021,8.088751
16.113278,4.101750
16.164002,1.528500
16.247547,1.946000
16.280639,1.829000
16.364011,1.445250
16.414478,2.010500
16.473137,1.344750
16.530477,1.785750
16.581077,1.829250
16.665104,1.851750
16.698085,1.757500
16.780988,1.163000
16.805550,2.704000
16.889902,13.810500
16.948419,24.888500
17.031260,28.691998
17.114560,30.351501
17.198508,24.716749
17.465137,22.345499
17.465521,32.881500
17.615497,39.397751
17.675289,46.522999
17.731904,46.451248
17.782294,38.394749
17.865667,9.626749
17.898867,2.588500
17.982207,1.411250
18.090239,1.354500
18.149011,1.422750
18.216156,1.579500
18.300020,1.700750
18.332517,1.779250
18.333497,1.791500
18.532883,1.398000
18.599430,1.617500
18.632761,1.832750
18.767435,1.848000
18.800092,20.245501
18.883491,20.167498
18.933991,18.212999
18.991470,19.812752
19.049702,24.126751
19.100268,29.720247
19.183964,29.323000
19.216442,25.570002
19.300075,30.654749
19.350480,28.676250
19.408220,30.694750
19.466786,31.695499
19.550605,33.000248
19.633999,32.070248
19.634537,31.119251
19.784249,30.223248
19.817096,24.495001
19.900410,13.130000
19.951224,3.145000
20.067308,1.560250
20.151250,1.891750
20.201403,1.957500
20.234937,1.872500
20.317671,1.776250
20.318499,1.838750
20.369166,1.839000
20.427053,1.851000
20.485080,1.813750
20.535104,1.972250
20.676251,1.910750
20.734952,2.054250
20.785194,2.091500
20.869247,1.738750
20.985235,1.938750
20.985744,1.879500
21.092206,1.826250
21.202773,1.791500
21.318548,1.939000
21.453060,1.920000
21.510212,1.863750
21.569669,1.898000
21.619817,1.897750
21.703553,1.960000
21.736554,1.934750
21.819430,1.845000
21.886727,1.691500
21.943617,1.779500
22.019386,1.920000
