Master Time (s),imag_part_kohm,impedance_change_speed_ohm_per_s,impedance_magnitude_ohm,impedance_phase_deg,real_part_kohm
7.921733,-84.927989,9338.949459,123280.861164,-43.542971,89.361107
8.038276,-90.689852,30252.456215,132327.035926,-43.262852,96.362831
8.155023,-92.293736,44616.885187,134731.580604,-43.237126,98.155312
8.238747,-92.390360,41355.964655,134877.081108,-43.235350,98.264176
8.358528,-92.306040,7042.697224,134710.865272,-43.252596,98.115301
8.489207,-92.113632,-972.840746,134449.646561,-43.244747,97.937665
8.563028,-91.826087,-2413.875956,134047.903347,-43.237528,97.656593
8.655715,-92.134294,-1150.865563,134489.671853,-43.240793,97.973179
8.805930,-89.894400,-10075.816908,131120.827769,-43.281588,95.455059
8.837364,-83.996236,-27274.150696,122075.616251,-43.477310,88.583794
8.953265,-77.068118,-56671.480209,111307.037351,-43.819767,80.310409
9.069616,-78.083164,-65227.754696,112750.714586,-43.830653,81.337218
9.189527,-81.473953,-30699.351012,117776.697545,-43.770092,85.049077
9.289845,-82.435366,25461.701967,119182.916184,-43.762529,86.075420
9.368989,-82.580365,22226.375764,119415.994799,-43.751757,86.259279
9.489834,-82.548498,5146.511489,119419.693981,-43.728896,86.294894
9.590107,-83.211586,3715.882603,120452.515107,-43.695435,87.089841
9.668197,-85.814444,11757.893311,124623.111536,-43.518735,90.370355
9.756732,-90.446801,30438.455680,131985.439629,-43.257524,96.122487
9.873613,-91.220311,41151.445284,133146.032377,-43.244632,96.988251
10.024018,-91.493875,21802.115090,133558.110192,-43.239476,97.296658
10.051930,-91.784836,19098.900104,133969.022045,-43.245033,97.587103
10.174134,-92.042767,4182.637032,134381.221010,-43.230709,97.910375
10.407977,-92.468590,3420.104210,135004.927876,-43.229907,98.366104
10.408376,-92.643556,3743.878841,135293.629420,-43.216672,98.597858
10.440850,-92.345201,2746.147866,134789.366094,-43.244059,98.186237
10.619328,-92.219901,-2232.957971,134623.366246,-43.237298,98.076198
10.675459,-88.820459,-15678.437427,129184.873739,-43.436115,93.806490
10.736350,-78.823048,-43906.188771,114137.184488,-43.677559,82.548313
10.885042,-77.234245,-87188.866150,111750.581667,-43.719672,80.765487
10.942039,-78.054135,-66674.722098,112953.775772,-43.711478,81.646234
11.058371,-79.664638,-28056.911346,115306.322507,-43.701050,83.361222
11.174678,-79.730404,13095.240490,115403.201366,-43.700248,83.432378
11.238253,-80.691805,13069.290088,116763.597395,-43.714859,84.395322
11.355308,-86.970417,36757.352276,126417.998202,-43.468773,91.747789
11.471086,-90.450123,59672.390275,131943.880130,-43.276489,96.062286
11.526155,-91.088651,54653.009727,132962.342983,-43.241194,96.859911
11.675415,-91.315081,20538.546549,133318.241680,-43.230939,97.135522
11.792446,-91.399243,3887.396117,133409.899567,-43.243544,97.182198
11.821240,-91.620165,3933.828128,133732.934176,-43.243314,97.417878
11.936818,-91.769584,2564.582174,133961.573494,-43.239075,97.591222
12.055396,-91.479665,813.692606,133504.149313,-43.252883,97.235944
12.142533,-88.847027,-9178.768757,129338.303386,-43.387986,93.992567
12.259229,-79.679041,-57641.369103,115105.261273,-43.806704,83.069077
12.376009,-78.613530,-69053.389342,113403.673438,-43.885428,81.733139
12.404328,-80.164798,-57741.882515,115732.328246,-43.842170,83.472013
12.576230,-81.806311,11283.164407,118194.607482,-43.799141,85.309394
12.693939,-82.492446,16663.902500,119300.449212,-43.746429,86.183487
12.809802,-82.350759,3758.772378,119069.046843,-43.758633,85.998782
12.843164,-82.879916,5036.968982,119919.704064,-43.719500,86.669804
12.959966,-86.947540,18267.214736,126491.002497,-43.423166,91.870011
13.043471,-90.651111,39349.259948,132273.459899,-43.261649,96.325720
13.160250,-91.078190,44034.538577,132951.032061,-43.239590,96.854221
13.277637,-91.450191,19185.179547,133475.182609,-43.247211,97.223901
13.338197,-91.425877,15112.328529,133455.159791,-43.240965,97.219282
13.454109,-91.271627,684.808563,133162.895969,-43.268123,96.963122
13.571466,-91.218090,-1392.401609,133112.930839,-43.256722,96.944894
13.627948,-91.292077,-965.714179,133215.660600,-43.258842,97.016333
13.777392,-91.303826,190.747838,133206.761307,-43.269384,96.993054
13.894190,-91.250629,-12.738406,133128.866562,-43.269499,96.936153
13.921234,-91.186011,-193.149805,133055.655043,-43.260962,96.896433
14.037644,-91.320877,127.834675,133248.199168,-43.262680,97.033912
14.154887,-91.326756,105.797103,133182.217697,-43.292875,96.937747
14.244596,-90.590965,-2445.784159,131926.721887,-43.367589,95.905875
14.361424,-89.332837,-10787.038948,129834.010435,-43.476279,94.215256
14.478215,-86.618468,-22747.771595,125717.157070,-43.550592,91.115556
14.594793,-84.854021,-26282.495758,123071.744674,-43.588006,89.142860
14.621515,-83.996854,-27133.795209,121803.565121,-43.599178,88.207919
14.795477,-83.731333,-13057.476699,121382.974465,-43.615164,87.879977
14.911727,-84.146077,-2397.563422,122015.084080,-43.601356,88.357900
14.945334,-84.636292,-527.873365,122689.203427,-43.617685,88.821949
15.145465,-85.001997,5161.004086,123206.788946,-43.623243,89.188415
15.145816,-85.341147,5812.826446,123728.495276,-43.609950,89.585876
15.329092,-85.846874,4637.192419,124475.031724,-43.604106,90.135164
15.412707,-86.609427,7487.565146,125634.669799,-43.580672,91.010315
15.445649,-88.349239,12267.261285,128289.245293,-43.525095,93.019043
15.562540,-90.472679,32074.775182,131656.092804,-43.408040,95.645288
15.679651,-91.100023,25544.378619,132753.249579,-43.332868,96.561955
15.706731,-91.282152,23857.441128,133142.047061,-43.282791,96.924576
15.823482,-91.312433,12863.657349,133173.629570,-43.287891,96.939441
15.996907,-90.752086,-2243.241423,132177.313572,-43.361057,96.098393
16.029759,-89.516778,-6087.289401,130106.559848,-43.474102,94.416436
16.146413,-87.418257,-19008.199416,126892.645828,-43.544289,91.977127
16.263221,-86.300762,-25169.128479,125202.974799,-43.573682,90.708122
16.347112,-85.675958,-21641.105103,124259.177676,-43.590068,89.999852
16.480135,-85.221228,-9896.213402,123589.928204,-43.594366,89.508729
16.647574,-85.004360,-4810.714718,123254.321518,-43.603705,89.251815
16.697025,-85.270372,-2040.715641,123648.860587,-43.599809,89.543310
16.797245,-85.814066,2349.527672,124426.285418,-43.604622,90.099093
16.876130,-86.429920,4479.559606,125353.336160,-43.589782,90.792774
